ano_captacao,montante,lista_de_recusados_publicada,projetos_recusados,termos_recusados,valor_recusado,cotas_no_limite_ou_acima,total_listado,fonte_url,sha256_pdf
2022,15000000.0,não,,,,,11539241.07,,
2023,15000000.0,sim,11.0,16.0,4176644.33,,15000000.0,https://secult.es.gov.br/media/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202023.pdf,3a790deed8e01b95f3677e366eb9c5c09ba2d58fd86af84cd20d8a8024da8aac
2024,25000000.0,sim,21.0,22.0,8799851.49,,25000000.0,https://secult.es.gov.br/media/2024/RECURSO%20FINANCEIRO%20CAPTADO%20-%202024%20%286%29.pdf,19286bb60560325dedd49612321321a343a7ca751700975aa1198ccbc196f49b
2025,25000000.0,não,,,,3.0,25000000.0,https://secult.es.gov.br/media/2025/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025%20%2817%29.pdf,1e0ac02d4b026691384f0f80bc343cc6beb02547b9083b67bbd8f83b1421fcda
2026,31000000.0,não,,,,3.0,31512958.04,https://secult.es.gov.br/media/2026/RECURSO%20FINANCEIRO%20CAPTADO%20-%202026-2.pdf,1d9e507814910e443f35fc2560a1600f0d36e63d4563e5ecb5ccb61140199879
