ano_captacao,ano_declarado,montante_declarado,total_validado,total_indeferido,termos_indeferidos,soma_termos_indeferidos,origem_total_indeferido,indeferido_sobre_montante,f13_estado,validado_sobre_f13_estado,status,fonte_url,sha256_pdf
2022,2022,15000000.0,11539241.07,,,,,,56804626.31,0.2031391071393882,ok,https://secult.es.gov.br/media/PDF/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202022.pdf,67945f574cec16f23fb4458e13ccc5e0c82a67ca918a8f6a44be15d160c0886e
2023,2023,15000000.0,15000000.0,4176644.33,11,4176644.33,impresso no anexo,0.27844295533333335,103145866.77,0.145425119490709,ok,https://secult.es.gov.br/media/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202023.pdf,3a790deed8e01b95f3677e366eb9c5c09ba2d58fd86af84cd20d8a8024da8aac
2024,2024,25000000.0,25000000.0,8799851.49,22,8799851.49,soma calculada da coluna do termo,0.3519940596,119540758.61,0.20913369038891697,ok,https://secult.es.gov.br/media/2024/RECURSO%20FINANCEIRO%20CAPTADO%20-%202024%20%286%29.pdf,19286bb60560325dedd49612321321a343a7ca751700975aa1198ccbc196f49b
2025,2025,25000000.0,25000000.0,,,,,,181916534.67,0.13742566086887303,ok,https://secult.es.gov.br/media/2025/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025%20%2817%29.pdf,1e0ac02d4b026691384f0f80bc343cc6beb02547b9083b67bbd8f83b1421fcda
2026,,,31512958.04,,,,,,,,ok,https://secult.es.gov.br/media/2026/RECURSO%20FINANCEIRO%20CAPTADO%20-%202026-2.pdf,1d9e507814910e443f35fc2560a1600f0d36e63d4563e5ecb5ccb61140199879
