ciclo,registros,registros_com_municipio_unico,autorizado_atribuivel,pct_autorizado_atribuivel,municipios_com_presenca,municipios_sem_presenca,municipios_com_valor_atribuivel,pct_valor_atribuivel_na_rmgv,gini_valor_78_municipios,gini_per_capita_78
2022,69,44,15452227.85,0.6618305213777537,39,39,14,0.7218084161242807,0.9291663837278374,0.9346343036285653
2023,113,84,33683224.67,0.760459632661638,45,33,21,0.6234036065644899,0.9032393844144864,0.8752172902038458
2024,123,107,40596130.940000005,0.8689892973338497,31,47,26,0.7369164508365338,0.9035697945081576,0.8219621653620075
2025,74,51,23129179.709999997,0.69072815635415,32,46,20,0.5671248865920114,0.8814410083447455,0.86142098330058
2026,88,54,23437774.71,0.6180459678082129,42,36,15,0.6680655998164938,0.9113830577662333,0.9084308489505252
