numero_processo,ciclo,municipio_fonte,municipio_reparado,municipios_es,locais_fora_es,locais_nao_resolvidos,tipo_local,nota_municipio
2022-JBZVN,2022,Muqui Iúna; Ibitirama; Irupi; Divino São,Muqui Iúna; Ibitirama; Irupi; Divino de São Lourenço,Divino de São Lourenço; Ibitirama; Irupi; Muqui; Iúna,,,varios_municipios,"transbordo 2022-JBZVN->2022-83B3M ('Divino São'+'Lourenço'='Divino de São Lourenço', papel A); "
2022-83B3M,2022,Lourenço; Jaguaré; Vila Valério; Sooretama; São Mateus; Conceição da Barra; Venda Nova do Imigrante; Castelo; Conceição do Castelo; Santa,Jaguaré; Vila Valério; Sooretama; São Mateus; Conceição da Barra; Venda Nova do Imigrante; Castelo; Conceição do Castelo; Santa Maria de Jetibá,Venda Nova do Imigrante; Santa Maria de Jetibá; Conceição do Castelo; Conceição da Barra; Vila Valério; São Mateus; Sooretama; Castelo; Jaguaré,,,varios_municipios,"transbordo 2022-JBZVN->2022-83B3M ('Divino São'+'Lourenço'='Divino de São Lourenço', papel B); transbordo 2022-83B3M->2022-220W3 ('Santa'+'Maria'='Santa Maria de Jetibá', papel A); "
2022-220W3,2022,Maria; Santa Teresa; Domingos Vargem Alta; Martins; Castelo; Cachoeiro Brejetuba. de Itapemirim; Caparaó; Marataízes,Santa Teresa; Domingos Martins; Vargem Alta; Castelo; Cachoeiro de Itapemirim; Brejetuba; Caparaó; Marataízes,Cachoeiro de Itapemirim; Domingos Martins; Santa Teresa; Vargem Alta; Marataízes; Brejetuba; Castelo,,caparao (região do Caparaó (não há município do ES com esse nome; o homônimo é de MG)),varios_municipios,"transbordo 2022-83B3M->2022-220W3 ('Santa'+'Maria'='Santa Maria de Jetibá', papel B); reescrita: linhas intercaladas na célula: 'Domingos … Martins' e 'Cachoeiro … de Itapemirim' + 'Brejetuba'; "
2022-CP09H,2022,Vitória-ES; Vila Velha-ES; São Paulo,Vitória-ES; Vila Velha-ES; São Paulo,Vila Velha; Vitória,São Paulo,,varios_municipios,
2022-9NT8C,2022,Vargem Alta; Castelo; Cachoeiro de Itapemirim; Caparaó e,Vargem Alta; Castelo; Cachoeiro de Itapemirim; Caparaó e,Cachoeiro de Itapemirim; Vargem Alta; Castelo,,caparao (região do Caparaó (não há município do ES com esse nome; o homônimo é de MG)),varios_municipios,
2022-0PP25,2022,Vitória; Muqui; Castelo; Venda Nova; Domingos,Vitória; Muqui; Castelo; Venda Nova; Domingos Martins,Domingos Martins; Venda Nova do Imigrante; Castelo; Vitória; Muqui,,,varios_municipios,"transbordo 2022-0PP25->2022-KSSWD ('Domingos'+'Martins'='Domingos Martins', papel A); "
2022-KSSWD,2022,Martins; Alegre Cariacica,Alegre Cariacica,Cariacica; Alegre,,,varios_municipios,"transbordo 2022-0PP25->2022-KSSWD ('Domingos'+'Martins'='Domingos Martins', papel B); "
2022-Z91ZF,2022,Vitória; Costa Rica,Vitória; Costa Rica,Vitória,,costa rica (local não identificado (provavelmente fora do ES)),um_municipio_mais_outros_locais,
2022-PHX83,2022,Domingos Martins; Venda Nova do Imigrante; Vargem,Domingos Martins; Venda Nova do Imigrante; Vargem Alta,Venda Nova do Imigrante; Domingos Martins; Vargem Alta,,,varios_municipios,"transbordo 2022-PHX83->2022-87D66 ('Vargem'+'Alta'='Vargem Alta', papel A); "
2022-87D66,2022,Alta Vitória,Vitória,Vitória,,,um_municipio,"transbordo 2022-PHX83->2022-87D66 ('Vargem'+'Alta'='Vargem Alta', papel B); "
