ano_captacao,cota,linha,cnpj_patrocinador,valor_captado,recebimento,recebimento_herdado,data_antes_do_ano
2026,4,571,39.786.983/0004-11,32610.32,2026-01-26 12:32:00,False,False
2026,4,578,00.827.783/0021-25,250000.0,2026-01-26 12:35:00,False,False
2026,4,585,03.845.717/0030-67,50000.0,2026-01-27 14:59:00,False,False
2026,4,592,03.845.717/0057-87,50000.0,2026-01-27 14:59:00,False,False
2026,4,599,03.845.717/0047-05,75000.0,2026-01-27 14:59:00,False,False
2026,4,606,03.845.717/0052-72,75000.0,2026-01-27 14:59:00,False,False
2026,4,617,28.152.650/0001-71,499997.21,2026-02-02 00:25:00,False,False
2026,4,626,28.154.847/0003-01,200000.0,2026-02-05 16:24:00,False,False
2026,4,631,08.625.038/0001-61,496789.86,2026-02-05 17:12:00,False,False
2026,4,636,11.277.336/0008-99,50000.0,2026-02-06 16:17:00,False,False
2026,4,640,34.307.295/0001-02,300000.0,2026-02-06 10:56:00,False,False
