ciclo,captando,em_execucao,concluido,captacao_expirada,total,executados,resolvidos,taxa_execucao_sobre_total,taxa_execucao_sobre_resolvidos,taxa_expiracao_sobre_resolvidos,pct_ainda_captando
2022,0,0,58,11,69,58,69,0.8405797101449275,0.8405797101449275,0.15942028985507245,0.0
2023,0,9,70,34,113,79,113,0.6991150442477876,0.6991150442477876,0.3008849557522124,0.0
2024,12,20,41,50,123,61,111,0.4959349593495935,0.5495495495495496,0.45045045045045046,0.0975609756097561
2025,18,46,7,3,74,53,56,0.7162162162162162,0.9464285714285714,0.05357142857142857,0.24324324324324326
2026,69,17,2,0,88,19,19,0.2159090909090909,1.0,0.0,0.7840909090909091
