ciclo,Associação/instituto/fundação e outras entidades associativas,Empresa (sufixo societário explícito),"Empresa provável (termo comercial, sem sufixo)",Grupo/coletivo/companhia artística (natureza não inferível),Indeterminado (inclui nomes de pessoa natural sem CPF),MEI/empresário individual
2022,0.3188405797101449,0.463768115942029,0.028985507246376812,0.028985507246376812,0.043478260869565216,0.11594202898550725
2023,0.30973451327433627,0.46017699115044247,0.04424778761061947,0.04424778761061947,0.008849557522123894,0.13274336283185842
2024,0.43089430894308944,0.3902439024390244,0.07317073170731707,0.04878048780487805,0.032520325203252036,0.024390243902439025
2025,0.47297297297297297,0.3783783783783784,0.04054054054054054,0.02702702702702703,0.04054054054054054,0.04054054054054054
2026,0.38636363636363635,0.4318181818181818,0.056818181818181816,0.011363636363636364,0.056818181818181816,0.056818181818181816
