ciclo,proponentes,registros,registros_por_proponente,proponentes_com_3_ou_mais,max_registros_um_proponente,pct_proponentes_ja_vistos_em_ciclo_anterior,pct_valor_de_proponentes_ja_vistos,top10_share_valor,top1_share_valor,hhi_proponentes,gini_proponentes,n_equivalente_1_sobre_hhi,cobertura_valor
2022,53,69,1.3018867924528301,4.0,3.0,,,0.439551541034226,0.06424612629994518,297.044196535787,0.3965611399013946,33.665023981693004,69/69
2023,92,113,1.2282608695652173,6.0,3.0,0.25,0.33480468516047857,0.24656098417066072,0.03386089113073965,145.39734728405577,0.29654676831168303,68.77704570815507,112/113
2024,95,123,1.2947368421052632,7.0,5.0,0.4105263157894737,0.5089083148907008,0.2680139153061809,0.048711821824836354,151.15155279767285,0.2866130328612519,66.15876459691893,120/123
2025,57,74,1.2982456140350878,3.0,4.0,0.631578947368421,0.7376359338769023,0.36726593098769555,0.0691289783057285,246.85396548448213,0.2903233850767916,40.5097806728514,74/74
2026,73,88,1.2054794520547945,1.0,3.0,0.5068493150684932,0.6275778028301956,0.27694776260524506,0.03962089266564084,177.65356850350017,0.284034960667,56.289328068312784,88/88
2022-2026 (processos distintos),235,463,1.9702127659574469,,,,,0.18821492806833157,0.024461990219618434,88.71509301642257,0.4915416232451591,112.72039131096713,459/463
