casamento,captados_total,casados,com_municipio_unico,captado_casado,captado_com_municipio_unico,captado_rmgv,captado_interior,pct_captado_rmgv_entre_unicos,projetos_rmgv,projetos_interior,municipios_distintos,varios_municipios
principal (título exato),63,48,42,18702175.75,16206221.629999999,9935570.09,6270651.539999999,0.613071344872136,24,18,18,6
principal + secundário,63,51,45,20201631.75,17705677.63,10935466.09,6770211.540000001,0.6176248273870781,26,19,19,6
