serie,2024,2025,media_2025_2026,dif_2025_menos_2024
LICC (habilitados),0.4105263157894737,0.543859649122807,0.49795722182167745,0.13333333333333336
"Rouanet, proponentes do ES",0.27419354838709675,0.4148471615720524,0.4148471615720524,0.14065361318495567
"LICC menos Rouanet-ES (dif. em dif., pontos)",,,,-0.007320279851622313
