ano_recusa,projeto,ano_captacao,fonte,linha,contexto
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,secult_captados_2026_pdf.txt,490,"Floresta / Ampliação e / qualificação do / Museu da Baleia e / Instituto Baleia KURUMÁ / Galeria de Arte R$ 774.892,00 00.827.783/0019-00 R$ 388.000,00 16/01/2026 15:29:17 / Jubarte VEÍCULOS S/A"
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,secult_captados_2026_pdf.txt,491,"Ampliação e / qualificação do / Museu da Baleia e / Instituto Baleia KURUMÁ / Galeria de Arte R$ 774.892,00 00.827.783/0019-00 R$ 388.000,00 16/01/2026 15:29:17 / Jubarte VEÍCULOS S/A / Memorial da Paz no"
2024,Ampliação e qualificação do Museu da Baleia e Galeria de Arte Memorial da Paz no Espaço Baleia Jubarte,2026,secult_captados_2026_pdf.txt,495,"Galeria de Arte R$ 774.892,00 00.827.783/0019-00 R$ 388.000,00 16/01/2026 15:29:17 / Jubarte VEÍCULOS S/A / Memorial da Paz no / Espaço Baleia / Jubarte / EDP Espírito Santo 12/01/2026 13:56:16 - / Andaluz Producoes"
2024,"Encantando pessoas, celebrando a natureza",2025,secult_captados_2025_v17_pdf.txt,384,"Compondo na Rua R$ 396.394,83 Distribuição de Energia 28.152.650/0001-71 R$ 396.394,83 16/01/2025 às 17:19hs / LTDA / S.A / ENCANTANDO / EDP Espírito Santo / PORTO E STEIN PESSOAS, / R$ 316.411,12 Distribuição de Energia 28.152.650/0001-71 R$ 316.411,12 17/01/2025 às 14:48hs"
2024,"Encantando pessoas, celebrando a natureza",2025,dados/processados/captados_2025.csv,50,"ENCANTANDO PESSOAS, CELEBRANDO A NATUREZA | PORTO E STEIN PRODUÇÕES LTDA-ME | R$ 316.411,12 | EDP Espírito Santo Distribuição de Energia S.A"
2024,Escola de Música Tocando em Frente,2025,dados/processados/captados_2025.csv,25,"ESCOLA DE MÚSICA TOCANDO EM FRENTE | Programa de Promoção e Assistência Social | R$ 499.560,00 | EDP Espírito Santo Distribuição de Energia S.A"
2024,"Escola de fotógrafos cegos, novos olhares: territórios",2026,secult_captados_2026_pdf.txt,339,"CAPIXABA / Escola de / Associação EDP Espírito Santo / Fotógrafos Cegos, A / Sociedade Cultura R$ 496.800,00 Distribuição de 28.152.650/0001-71 R$ 300.000,00 12/01/2026 11:19:37 / Exposição: 4 / e Arte SOCA Energia S.A"
2024,"Escola de fotógrafos cegos, novos olhares: territórios",2026,secult_captados_2026_pdf.txt,409,"Iluminado / Escola de / Associação / Fotógrafos Cegos, A KURUMÁ / Sociedade Cultura R$ 496.800,00 00.827.783/0004-24 R$ 196.800,00 13/01/2026 12:33:23 / Exposição: 4 VEÍCULOS S/A / e Arte SOCA"
2024,Estúdio Escola de Animação,2025,dados/processados/captados_2025.csv,40,"Estúdio Escola de Animação | ATROM PRODUCOES E CONSULTORIA | R$ 499.998,00 | EDP Espírito Santo Distribuição de Energia S.A"
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,2025,secult_captados_2025_v17_pdf.txt,368,"João de J. S. Bach R$ 161.912,01 Distribuição de Energia 28.152.650/0001-71 R$ 161.912,01 14/01/2025 às 17:20hs / XXXXXXXXXXX / S.A / FECSTA 7 - FESTIVAL / SATIRICA FILMES TUBOVAL / DE CINEMA DE R$ 499.900,00 31.731.169/0001-45 R$ 264.403,77 15/01/2025 às 12:03hs / PRODUÇÕES LTDA COMERCIAL LTDA"
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,2025,dados/processados/captados_2025.csv,47,"FECSTA 7 - FESTIVAL DE CINEMA DE SANTA TERESA - ES | SATIRICA FILMES PRODUÇÕES LTDA | R$ 264.403,77 | TUBOVAL COMERCIAL LTDA"
2024,FECSTA 7 - Festival de Cinema de Santa Teresa - ES,2026,secult_captados_2026_pdf.txt,625,"Anual de Atividades / Culturais e / Educativas / SATÍRICA FILMES FECSTA 9 - Festival REALCAFÉ / PRODUÇÕES de Cinema de Santa R$ 498.156,64 SOLUVEL DO 28.154.847/0003-01 R$ 200.000,00 05/02/2026 16:24:46 / LTDA Teresa - ES BRASIL S.A"
2024,Festival Delírio Tropical,2025,secult_captados_2025_v17_pdf.txt,330,"Companhia de Gás do / PURI PRODUÇÕES E / Festival Delírio Tropical R$ 500.000,00 Espírito Santo – ES 34.307.295/0001-65 R$ 500.000,00 10/01/2025 às 17:56hs / EVENTOS LTDA / GÁS / VIANA PROJETOS VM Comercio de"
2024,Festival Delírio Tropical,2025,dados/processados/captados_2025.csv,38,"Festival Delírio Tropical | PURI PRODUÇÕES E EVENTOS LTDA | R$ 500.000,00 | Companhia de Gás do Espírito Santo – ES GÁS"
2024,Festival Manhágua,2025,secult_captados_2025_v17_pdf.txt,305,"VD Comercio de / Caju Produções LTDA ME Festival Manhágua R$ 500.000,00 39.786.983/0001-79 R$ 500.000,00 09/01/2025 às 13:50hs / Veiculos LTDA"
2024,Festival Manhágua,2025,dados/processados/captados_2025.csv,34,"Festival Manhágua | Caju Produções LTDA ME | R$ 500.000,00 | VD Comercio de Veiculos LTDA"
2024,Festival Nacional de Teatro Cidade de Vitória - 20ª Edição,2025,secult_captados_2025_v17_pdf.txt,115,"Associação Cultural Festival Nacional de Transportadora / Circense e Ambiental Teatro Cidade de R$ 500.000,00 Associada de Gás - 06.248.349/0004-76 R$ 500.000,00 08/04/2025 às 10:44hs / Uma Floresta Vitória - 20º Edição TAG / ITAPOA 08/04/2025 às 17:01hs"
2024,Festival Nacional de Teatro Cidade de Vitória - 20ª Edição,2025,dados/processados/captados_2025.csv,13,"Festival Nacional de Teatro Cidade de Vitória - 20º Edição | Associação Cultural Circense e Ambiental Uma Floresta | R$ 500.000,00 | Transportadora Associada de Gás - TAG"
2024,Filarmônica de Mulheres do Espírito Santo: música e representatividade,2025,dados/processados/captados_2025.csv,35,"'Filarmônica de Mulheres do Espírito Santo: música e representatividade” | Instituto Todos os Cantos - | R$ 440.074,42 | VD Comercio de Veiculos LTDA"
2024,Oficinas de Formação Música Clássica,2025,secult_captados_2025_v17_pdf.txt,290,"EDP Espírito Santo / TONOBOOKS Oficinas de Formação / R$ 499.620,00 Distribuição de Energia 28.152.650/0001-71 R$ 499.620,00 08/01/2025 às 17:24hs / PRODUCOES LTDA Música Clássica / S.A / Comercial Devens / 31.759.699/0002-82 R$ 43.797,08 09/01/2025 às 11:28hs"
2024,Oficinas de Formação Música Clássica,2025,dados/processados/captados_2025.csv,32,"Oficinas de Formação Música Clássica | TONOBOOKS PRODUCOES LTDA | R$ 499.620,00 | EDP Espírito Santo Distribuição de Energia S.A"
2024,Oficinas de Formação Música Clássica,2026,secult_captados_2026_pdf.txt,199,"Saúde LTDA / CORETO Oficinas de EDP Espírito Santo / PRODUÇÕES Formação em R$ 500.000,00 Distribuição de 28.152.650/0001-71 R$ 500.000,00 12/01/2026 10:42:39 / LTDA Música Clássica Energia S.A / Associação dos / Núcleo de Formação / Moradores da EDP Espírito Santo"
2024,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,2025,secult_captados_2025_v17_pdf.txt,259,"Programa de / EDP Espírito Santo / MOSTEIRO ZEN MORRO Residência do Mosteiro / R$ 499.955,20 Distribuição de Energia 28.152.650/0001-71 R$ 499.955,20 21/01/2025 às 09:05hs / DA VARGEM-MZMV Zen Morro da Vargem / S.A"
2024,Programa de Residência do Mosteiro Zen Morro da Vargem 2023,2025,dados/processados/captados_2025.csv,30,"Programa de Residência do Mosteiro Zen Morro da Vargem 2023 | MOSTEIRO ZEN MORRO DA VARGEM-MZMV | R$ 499.955,20 | EDP Espírito Santo Distribuição de Energia S.A"
2024,Quintal do CSE: Intervenções Socioespaciais Identitárias,2025,secult_captados_2025_v17_pdf.txt,405,"LR PRODUÇÕES NACIONAL DE R$ 281.690,00 Kurumá Veiculos S.A 00.827.783/0005-05 R$ 281.690,00 20/01/2025 às 10:22hs / CAPOEIRA / CIDADE QUINTAL / Quintal do CSE: / SERVIÇOS DE DESIGN / Intervenções / E ARTE URBANA LTDA R$ 485.087,70 Kurumá Veiculos S.A 00.827.783/0020-44 R$ 250.000,00 20/01/2025 às 13:50hs"
2024,Quintal do CSE: Intervenções Socioespaciais Identitárias,2025,dados/processados/captados_2025.csv,54,"Quintal do CSE: Intervenções Socioespaciais Identitárias | CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA | R$ 250.000,00 | Kurumá Veiculos S.A"
