ano,grupo,municipios_com_valor,municipios,f13_empenhado,share_f13,pop_2022_com_valor,f13_per_capita,vitoria_share_f13
2023,RMGV,7,7,59421864.36999999,0.3319771188442565,1880828.0,31.593460098424732,
2023,Interior,68,71,119571990.91999999,0.6680228811557433,1835614.0,65.14005173200901,
2023,ES,75,78,178993855.29000002,1.0,3716442.0,48.162693051579986,0.14764315762227412
2024,RMGV,7,7,75542235.64,0.30127120820274617,1880828.0,40.16435082846491,
2024,Interior,70,71,175202719.67999995,0.6987287917972537,1858119.0,94.29036551480284,
2024,ES,77,78,250744955.32,1.0,3738947.0,67.06298733841373,0.1184847132102215
2025,RMGV,7,7,111344172.69,0.3857033937276004,1880828.0,59.19955077763623,
2025,Interior,69,71,177334056.49,0.6142966062723997,1912469.0,92.72519266456084,
2025,ES,76,78,288678229.18,1.0,3793297.0,76.10219531452455,0.10606060216930696
