,status,status,status,status,enquadramento,enquadramento,enquadramento,enquadramento,enquadramento
,captacao_expirada,captando,concluido,em_execucao,(vazio),cota-continuados,cota-demais,cota-fora-rmgv,cota-pautados
ciclo,,,,,,,,,
2022,11,0,58,0,69,0,0,0,0
2023,34,0,70,9,113,0,0,0,0
2024,50,12,41,20,0,4,86,17,16
2025,3,18,7,46,0,4,40,13,17
2026,0,69,2,17,0,6,56,12,14
