indicador,valor
empresas,26
CR1,0.4390110896
CR4,0.7478825512
CR8,0.8866505512
HHI,2312.8015517690787
n_equivalente_1_sobre_HHI,4.323760502647072
gini,0.7479330394153846
empresas_para_metade,2
maior_empresa,EDP Espírito Santo Distribuição de Energia S.A
maior_empresa_projetos,25
maior_empresa_termos,25
cobertura,95/95 termos com valor
