n_ciclos,proponentes,autorizado,pct_proponentes,pct_autorizado
1,159,60739490.81,0.676595744680851,0.33019377400000866
2,36,35986309.17,0.15319148936170213,0.1956298131366146
3,25,47710254.54,0.10638297872340426,0.259363863525672
4,11,26299962.69,0.04680851063829787,0.14297261667595004
5,4,13215030.91,0.01702127659574468,0.0718399326617547
