projeto,proponente,valor_autorizado,valor_captado,patrocinador,fonte_url,fonte_pagina,linha_arquivo,titulo_norm,id_captado,chave_proponente,casamento,numero_processo,processos_candidatos,ciclos_habilitacao,ciclo_habilitacao_min,numero_processo_secundario,ciclo_habilitacao_min_secundario
10º Festival Nacional de Cinema Ambiental do Espírito Santo - CINE.EMA,Caju Produções LTDA ME,500000.0,480000.0,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,16,10o festival nacional de cinema ambiental do espirito santo cine ema,C25-15,caju producoes,casado,2023-9RT9Q,,2024,2024.0,,
73º Encontro Nacional de Folias de Reis - Muqui-ES - 2024,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,17,73o encontro nacional de folias de reis muqui es 2024,C25-16,associacao comercial e empresarial de muqui ace muqui,casado,2023-1FDSB,,2024,2024.0,,
Roda de Boteco 2025,Conexxo Serviços e Gestão de Eventos,500000.0,500000.0,AMBEV S.A. CDD VITÓRIA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,18,roda de boteco 2025,C25-17,conexxo servicos e gestao de eventos,sem_correspondencia,,,,,,
13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,(Em análise na SEFAZ) Secretariado dos Imigrantes Friulanos de Aracruz-ES,426123.0,356135.99,Imetame Metalmecãnica LTDA; Comercial Devens LTDA; Comercial Devens LTDA; Oriundi Supermercados LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,19,13a italia unita festa da imigracao italiana de aracruz municipio de guarana,C25-18,secretariado dos imigrantes friulanos de aracruz es,casado,2025-RC8N2,,2025,2025.0,,
MAIS CULTURA NAS ESCOLAS,"ES Práticas Corporais, Culturais, Esportivas e de Saúde LTDA",499896.0,499896.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,20,mais cultura nas escolas,C25-19,es praticas corporais culturais esportivas e de saude,ambiguo,,2022-JJS7Q;2024-1V0QR,,,2024-1V0QR,2024.0
A Fantástica Carpintaria - Programa Educativo,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,500000.0,500000.0,VD Comercio de Veiculos LTDA; VD Comercio de Veiculos LTDA; VM Comercio de Automoveis LTDA,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,21,a fantastica carpintaria programa educativo,C25-20,cidade quintal servicos de design e arte urbana,casado,2024-2C95T,,2024,2024.0,,
MÚSICA E ARTES NA CAPITAL VITÓRIA ES,ASSOCIAÇÃO ALEF BET,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,22,musica e artes na capital vitoria es,C25-21,associacao alef bet,ambiguo,,2022-87D66;2024-7862T,,,2024-7862T,2024.0
Musicalização Agrícola,Instituto Três Pontões de Ação Social e Cultural,500000.0,500000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,23,musicalizacao agricola,C25-22,instituto tres pontoes de acao social e cultural,casado,2024-VM90J,,2024,2024.0,,
Núcleo de Formação de Sanfona e Viola de São Pedro do Itabapoana - Ciclo II,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,388322.4,330000.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,24,nucleo de formacao de sanfona e viola de sao pedro do itabapoana ciclo ii,C25-23,associacao dos moradores da comunidade de sao pedro do itabapoana,sem_correspondencia,,,,,,
ESCOLA DE MÚSICA TOCANDO EM FRENTE,Programa de Promoção e Assistência Social,499560.0,499560.0,EDP Espírito Santo Distribuição de Energia S.A,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2,25,escola de musica tocando em frente,C25-24,programa de promocao e assistencia social,ambiguo,,2022-BFTK4;2023-42TC3,,,2023-42TC3,2023.0
