ordem_doc,ciclo,numero_processo,ano_protocolo,projeto,titulo_norm,proponente,chave_proponente,valor_autorizado,valor_total,valor_autorizado_bruto,valor_total_bruto,flag_valor_suspeito,status,enquadramento,municipio_fonte,municipio_reparado,municipios_es,cod_ibge_lista,n_municipios_es,locais_fora_es,locais_nao_resolvidos,municipio_ausente_na_fonte,tipo_local,municipio_valor,cod_ibge_valor,flag_municipio_incerto,nota_municipio,fonte_url,fonte_pagina,linha_arquivo
107,2025,2025-6MRS2,2025,XXX Festival Internacional de Inverno de Música Erudita e Popular de Domingos Martins,xxx festival internacional de inverno de musica erudita e popular de domingos martins,Associação Montanhas Capixabas Turismo & Eventos,associacao montanhas capixabas turismo eventos,500000.0,2043300.0,500000.0,2043300.0,False,captando,cota-pautados,Domingos Martins,Domingos Martins,Domingos Martins,3201902,1,,,False,um_municipio,Domingos Martins,3201902.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,21
108,2025,2025-TRTMG,2025,Festa do Imigrante Polonês de Águia Branca: Festival Polskich Imigrantów,festa do imigrante polones de aguia branca festival polskich imigrantow,Associação Polonesa de Águia Branca,associacao polonesa de aguia branca,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-pautados,Águia Branca,Águia Branca,Águia Branca,3200136,1,,,False,um_municipio,Águia Branca,3200136.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,22
109,2025,2025-2MXGB,2025,Boa Vista Carnaval Capixaba 2026,boa vista carnaval capixaba 2026,Grêmio Recreativo Cultural Esportivo Social Escola de Samba Independente de Boa Vista,gremio recreativo cultural esportivo social escola de samba independente de boa vista,492000.0,1800000.0,492000.0,1800000.0,False,em_execucao,cota-pautados,Cariacica,Cariacica,Cariacica,3201308,1,,,False,um_municipio,Cariacica,3201308.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,23
110,2025,2025-DG4T8,2025,Festival Da Baleia 2025,festival da baleia 2025,Instituto O Canal,instituto o canal,499996.0,726000.0,499996.0,726000.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,24
111,2025,2025-J4R03,2025,Festival de Cinema de Vitória,festival de cinema de vitoria,INSTITUTO BRASIL DE CULTURA E ARTE – IBCA,instituto brasil de cultura e arte ibca,500000.0,2400000.0,500000.0,2400000.0,False,em_execucao,cota-fora-rmgv,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,25
112,2025,2025-1VZQW,2025,13ª Semana Cultural Italiana de Jaguaré,13a semana cultural italiana de jaguare,AMITAJ - Associação Do Movimento Italiano De Jaguaré,amitaj associacao do movimento italiano de jaguare,275510.0,415510.0,275510.0,415510.0,False,em_execucao,cota-fora-rmgv,Jaguaré,Jaguaré,Jaguaré,3203056,1,,,False,um_municipio,Jaguaré,3203056.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,26
113,2025,2025-L5ZGN,2025,Orquestra de violões e canto infanto- juvenil,orquestra de violoes e canto infanto juvenil,Associação do Menino Jesus - AME,associacao do menino jesus ame,299850.0,299850.0,299850.0,299850.0,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,27
114,2025,2025-Z2F1D,2025,2ª Capacitação para fazedores de alegorias e adereços da Escola de Samba Unidos da Piedade,2a capacitacao para fazedores de alegorias e aderecos da escola de samba unidos da piedade,INSTITUTO RAÍZES,instituto raizes,499956.52,499956.52,499956.52,499956.52,False,em_execucao,cota-fora-rmgv,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,28
115,2025,2025-FW5PL,2025,The Skeep: Gravação de Álbum,the skeep gravacao de album,Evandro Jhonny Amorim Teixeira Marvila,evandro jhonny amorim teixeira marvila,162000.0,162000.0,162000.0,162000.0,False,captando,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,29
116,2025,2025-W3JHC,2025,FECSTA 9 - Festival de Cinema de Santa Teresa - ES,fecsta 9 festival de cinema de santa teresa es,Satírica Filmes Produções LTDA,satirica filmes producoes,500000.0,700000.0,500000.0,700000.0,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,8,30
117,2025,2025-X1BSB,2025,Estúdio Escola de Animação 2026,estudio escola de animacao 2026,ATROM PRODUCOES E CONSULTORIA LTDA,atrom producoes e consultoria,499688.0,499688.0,499688.0,499688.0,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,31
118,2025,2025-688GH,2025,Rosa dos Ventos,rosa dos ventos,Andaluz Produções Ltda,andaluz producoes,1000000.0,1000000.0,1000000.0,1000000.0,False,captando,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,32
119,2025,2025-60Q4Z,2025,Samba no Centro,samba no centro,Monique da Rocha Alves,monique da rocha alves,63700.0,63700.0,63700.0,63700.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,33
120,2025,2025-BK3F3,2025,Moqueca Pop Festival - 4ª Edição,moqueca pop festival 4a edicao,"JUPTER - Entretenimento, Comunicação e Cultura",jupter entretenimento comunicacao e cultura,500000.0,500000.0,500000.0,500000.0,False,captando,cota-fora-rmgv,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,3201209,1,,,False,um_municipio,Cachoeiro de Itapemirim,3201209.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,34
121,2025,2025-HC308,2025,CAPOEIRA E CULTURA POPULAR,capoeira e cultura popular,LR PRODUCOES LTDA,lr producoes,495855.0,495855.0,495855.0,495855.0,False,em_execucao,cota-demais,Cariacica; Viana; Serra; Vila Velha; Vitória/ES.,Cariacica; Viana; Serra; Vila Velha; Vitória/ES.,Vila Velha; Cariacica; Vitória; Serra; Viana,3205200;3201308;3205309;3205002;3205101,5,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,35
122,2025,2025-7TBJS,2025,OOPA! OLHA O PASSARINHO (2ª TEMPORADA),oopa olha o passarinho 2a temporada,LADART PRODUCOES E CONSULTORIA LTDA,ladart producoes e consultoria,1000000.0,1000000.0,1000000.0,1000000.0,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,36
123,2025,2025-5D2MW,2025,Remontagem do Armazém de Santa Marta/Ibitirama como Centro de Cultura e Memória do Caparaó – Armazém Multiverso -FASE II + Plano Anual de Atividades Culturais e Educativas,remontagem do armazem de santa marta ibitirama como centro de cultura e memoria do caparao armazem multiverso fase ii plano anual de atividades culturais e educativas,Associação Permacultural Jacutinga do Caparaó,associacao permacultural jacutinga do caparao,499997.21,499997.21,499997.21,499997.21,False,em_execucao,cota-fora-rmgv,Divino de São Lourenço,Divino de São Lourenço,Divino de São Lourenço,3201803,1,,,False,um_municipio,Divino de São Lourenço,3201803.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,37
124,2025,2025-M0VHQ,2025,LIVRO AO ALCANCE DE TODOS,livro ao alcance de todos,MARINA JORDEM ALMANÇA POSSATTI - MEI,marina jordem almanca possatti,159524.86,159524.86,159524.86,159524.86,False,captando,cota-fora-rmgv,Muniz Freire Ibatiba Ibitirama Divino de São Lourenço Dores do Rio Preto São José do Calçado Bom Jesus do Norte,Muniz Freire Ibatiba Ibitirama Divino de São Lourenço Dores do Rio Preto São José do Calçado Bom Jesus do Norte,Divino de São Lourenço; São José do Calçado; Bom Jesus do Norte; Dores do Rio Preto; Muniz Freire; Ibitirama; Ibatiba,3201803;3204807;3201100;3202009;3203700;3202553;3202454,7,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,38
125,2025,2025-JLXSW,2025,ES Design,es design,BALAIO DESIGN ESTRATEGICO LTDA,balaio design estrategico,299254.0,299254.0,299254.0,299254.0,False,em_execucao,cota-demais,Jerônimo Monteiro. Vitória,Jerônimo Monteiro. Vitória,Jerônimo Monteiro; Vitória,3203106;3205309,2,,,False,varios_municipios,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,39
126,2025,2025-XLB5J,2025,Festival de Música do Norte do Espírito Santo | FEMUNES,festival de musica do norte do espirito santo femunes,PORTO E STEIN PRODUÇÕES LTDA ME,porto e stein producoes,300000.0,300000.0,300000.0,300000.0,False,em_execucao,cota-demais,Nova Venecia,Nova Venecia,Nova Venécia,3203908,1,,,False,um_municipio,Nova Venécia,3203908.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,40
127,2025,2025-S1RSD,2025,Festival do Sol,festival do sol,Cluster Comunicações e Marketing Ltda.,cluster comunicacao e marketing,499749.0,499749.0,499749.0,499749.0,False,captando,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,41
128,2025,2025-Q68VW,2025,27º - 28º e 29º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,27o 28o e 29o festival de inverno da sanfona e da viola de sao pedro do itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,associacao dos moradores da comunidade de sao pedro do itabapoana,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-pautados,Mimoso do Sul,Mimoso do Sul,Mimoso do Sul,3203403,1,,,False,um_municipio,Mimoso do Sul,3203403.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,42
129,2025,2025-11MBF,2025,Oficinas de Formação em Música Classica,oficinas de formacao em musica classica,Tonobooks Produções Ltda,tonobooks producoes,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-fora-rmgv,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,9,43
130,2025,2025-4V24B,2025,Turnê Repertório Grupo Taetral Caparaó,turne repertorio grupo taetral caparao,Grupo Teatral Caparaó,grupo teatral caparao,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-fora-rmgv,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,44
131,2025,2025-JG98D,2025,Média metragem: Diagnóstico Precoce do Câncer Infantil,media metragem diagnostico precoce do cancer infantil,Utopia Filmes Ltda,utopia filmes,100000.0,100000.0,100000.0,100000.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,45
132,2025,2025-8K72R,2025,3º Festival Nacional de Capoeira,3o festival nacional de capoeira,LR Produções,lr producoes,472978.27,472978.27,472978.27,472978.27,False,captando,cota-demais,Cariacica,Cariacica,Cariacica,3201308,1,,,False,um_municipio,Cariacica,3201308.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,46
133,2025,2025-4ZDJQ,2025,Jazz Vitória Festival 2025,jazz vitoria festival 2025,Rota Service Ltda EPP,rota service,500000.0,786872.43,500000.0,786872.43,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,47
134,2025,2025-C788C,2025,"Maria, essa fé que me leva",maria essa fe que me leva,Andaluz Produções Ltda ME,andaluz producoes,500000.0,650000.0,500000.0,650000.0,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,48
135,2025,2025-3N7CD,2025,26ª Pomitafro,26a pomitafro,Centro de Cultura Italiana de Vila Pavão - CECIVIP,centro de cultura italiana de vila pavao cecivip,499913.88,829913.88,499913.88,829913.88,False,em_execucao,cota-pautados,Vila Pavão,Vila Pavão,Vila Pavão,3205150,1,,,False,um_municipio,Vila Pavão,3205150.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,49
136,2025,2025-RC8N2,2025,13ª Italia Unita - Festa da Imigração Italiana de Aracruz - Municipio de Guaraná,13a italia unita festa da imigracao italiana de aracruz municipio de guarana,Secretariado dos Imigrantes Friulanos de Aracruz - ES,secretariado dos imigrantes friulanos de aracruz es,426123.0,555123.0,426123.0,555123.0,False,em_execucao,cota-pautados,Aracruz,Aracruz,Aracruz,3200607,1,,,False,um_municipio,Aracruz,3200607.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,50
137,2025,2025-SB2J8,2025,Cinematoka - Mostra de Cinema Indígena e Vivência Etnico-Cultural,cinematoka mostra de cinema indigena e vivencia etnico cultural,karoline Delfino Felicio,karoline delfino felicio,499195.0,499195.0,499195.0,499195.0,False,em_execucao,cota-fora-rmgv,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,51
138,2025,2025-FW54R,2025,A Feira da Letra - Flinc,a feira da letra flinc,Letra Preta Produções Ltda,letra preta producoes,300000.0,1545008.78,300000.0,1545008.78,False,captacao_expirada,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,52
139,2025,2025-MJQ06,2025,Lab da Quebrada - Formando Futuros - Plataforma de Cursos Profissionalizantes,lab da quebrada formando futuros plataforma de cursos profissionalizantes,Tonobooks Produções Ltda,tonobooks producoes,498300.0,1494900.0,498300.0,1494900.0,False,captacao_expirada,cota-continuados,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,53
140,2025,2025-DV11N,2025,Roda de Boteco 2025 - Edição 2025,roda de boteco 2025 edicao 2025,Conexxo Serviços e Gestão de Eventos LTDA,conexxo servicos e gestao de eventos,500000.0,696130.0,500000.0,696130.0,False,concluido,cota-pautados,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,54
141,2025,2025-C1KRL,2025,Festival Internacional de Jazz e Bossa Nova de Santa Teresa - Santa Jazz 2025 12ª edição,festival internacional de jazz e bossa nova de santa teresa santa jazz 2025 12a edicao,Rota Service Ltda Epp,rota service,500000.0,880000.0,500000.0,880000.0,False,concluido,cota-pautados,Santa Teresa,Santa Teresa,Santa Teresa,3204609,1,,,False,um_municipio,Santa Teresa,3204609.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,55
142,2025,2025-XHP83,2025,Festival de Música Erudita do Espírito Santo,festival de musica erudita do espirito santo,Companhia de Ópera do Espírito Santo,companhia de opera do espirito santo,500000.0,1500000.0,500000.0,1500000.0,False,em_execucao,cota-pautados,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,56
143,2025,2025-QW9S1,2025,47ª Festa da Polenta,47a festa da polenta,Associação Festa da Polenta - AFEPOL,associacao festa da polenta afepol,500000.0,2300000.0,500000.0,2300000.0,False,concluido,cota-pautados,Venda Nova do Imigrante,Venda Nova do Imigrante,Venda Nova do Imigrante,3205069,1,,,False,um_municipio,Venda Nova do Imigrante,3205069.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,57
144,2025,2025-49GXP,2025,"3º Festival PCD: pinta, Canta e Dança",3o festival pcd pinta canta e danca,Movimento Cidade Projetos Criativos,movimento cidade projetos criativos,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,58
145,2025,2024-TS5HB,2024,Projeto nós que Transformamos: Marcenaria e Cultura,projeto nos que transformamos marcenaria e cultura,Associação Amigos da Justiça Cidadania,associacao amigos da justica cidadania educacao e arte,499996.8,499996.8,499996.8,499996.8,False,em_execucao,cota-fora-rmgv,Ibiraçu,Ibiraçu,Ibiraçu,3202504,1,,,False,um_municipio,Ibiraçu,3202504.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,10,59
146,2025,2024-83FMM,2024,"Programa Cultural Balé da Ilha, ""Nas cores da ilha""",programa cultural bale da ilha nas cores da ilha,Miranda & Cerutti Eventos Culturais Ltda,miranda cerutti eventos culturais,499664.0,499664.0,499664.0,499664.0,False,captacao_expirada,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,60
147,2025,2025-SPKTB,2025,Orquestra da Quebrada - Temporada Capixaba,orquestra da quebrada temporada capixaba,Tonobooks Produções Ltda,tonobooks producoes,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,61
148,2025,2025-VNDD9,2025,Comunita Fest 2025 - Encontro das Diversidades,comunita fest 2025 encontro das diversidades,Associação Federativa Comunita Italiana do Espirito Santo,associacao federativa comunita italiana do espirito santo,495261.11,1343872.22,495261.11,1343872.22,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,62
149,2025,2025-6TW8N,2025,Cappitella - Festa do Cappelletti e da Tagliatella 2025,cappitella festa do cappelletti e da tagliatella 2025,Associação Festa da Cappitella - Afecapi,associacao festa da cappitella afecapi,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-fora-rmgv,Nova Venécia,Nova Venécia,Nova Venécia,3203908,1,,,False,um_municipio,Nova Venécia,3203908.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,63
150,2025,2025-RD193,2025,2º Festival da Cultura Italiana - La Storia Continua - Affetti e Sapori,2o festival da cultura italiana la storia continua affetti e sapori,Associação Federativa Comunità Italiana do Espirito Santo,associacao federativa comunita italiana do espirito santo,495183.33,495183.33,495183.33,495183.33,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,64
151,2025,2024-PZ6LZ,2024,26º Natal Luz no Sitio Histórico de Muqui,26o natal luz no sitio historico de muqui,Associação Comercial e Empresarial de Muqui - ACE MUQUI,associacao comercial e empresarial de muqui ace muqui,496060.0,496060.0,496060.0,496060.0,False,em_execucao,cota-pautados,Muqui,Muqui,Muqui,3203809,1,,,False,um_municipio,Muqui,3203809.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,65
152,2025,2024-7NZLF,2024,Caminho Jesuíta,caminho jesuita,Andaluz Produções LTDA,andaluz producoes,459163.19,459163.19,459163.19,459163.19,False,captando,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,66
153,2025,2025-SXX99,2025,97ª Festa de São Pedro - Edição 2025,97a festa de sao pedro edicao 2025,Colônia de Pescadores e Aquicultores Z-5 Maria Ortiz,colonia de pescadores e aquicultores z 5 maria ortiz,500000.0,500000.0,500000.0,500000.0,False,concluido,cota-pautados,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,67
154,2025,2024-74QM3,2024,VII Festival Internacional de Violão do Espirito Santo(FIVES) e VII Concurso de Violão Mauricio de Oliveira 100 Anos,vii festival internacional de violao do espirito santo fives e vii concurso de violao mauricio de oliveira 100 anos,Acordes Centro de Música e Artes Ltda,acordes centro de musica e artes,497457.6,497457.6,497457.6,497457.6,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,68
155,2025,2025-3XG6Z,2025,"Festival ""Movimento Cidade"" 2026-2028 (8ª, 9ª e 10ª Edições)",festival movimento cidade 2026 2028 8a 9a e 10a edicoes,Movimento Cidade Projetos Criativos,movimento cidade projetos criativos,500000.0,1500000.0,500000.0,1500000.0,False,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,69
156,2025,2024-9S205,2024,Festival BigStep,festival bigstep,GZZ Art Entretenimento Ltda,gzz art entretenimento,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,70
157,2025,2025-BJXHC,2025,Núcleo de Formação de Sanfona e Viola de São Pedro do Itabapoana,nucleo de formacao de sanfona e viola de sao pedro do itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,associacao dos moradores da comunidade de sao pedro do itabapoana,388322.4,388322.4,388322.4,388322.4,False,concluido,cota-continuados,MImoso do Sul,MImoso do Sul,Mimoso do Sul,3203403,1,,,False,um_municipio,Mimoso do Sul,3203403.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,71
158,2025,2024-454L8,2024,Ato Final em Debate,ato final em debate,Andaluz Produções LTDA,andaluz producoes,355635.4,355635.4,355635.4,355635.4,False,captando,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,72
159,2025,2024-8TB7C,2024,Raiar da Liberdade,raiar da liberdade,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,associacao de salvaguarda do patrimonio imaterial cachoeirense,500000.0,500000.0,500000.0,500000.0,False,em_execucao,cota-pautados,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,3201209,1,,,False,um_municipio,Cachoeiro de Itapemirim,3201209.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,73
160,2025,2024-840C1,2024,"Escola de Fotógrafos Cegos, A Exposição: 4 Cidades - 2ª Edição",escola de fotografos cegos a exposicao 4 cidades 2a edicao,Associação Sociedade Cultura e Arte SOCA,associacao sociedade cultura e arte soca,496800.0,496800.0,496800.0,496800.0,False,em_execucao,cota-demais,,,,,0,,,True,ausente,,,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,74
161,2025,2024-HZSBS,2024,Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2025,carnaval folclorico do boi pintadinho de muqui es 2025,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,associacao comercial e empresarial de muqui ace muqui,500000.0,500000.0,500000.0,500000.0,False,concluido,cota-pautados,Muqui,Muqui,Muqui,3203809,1,,,False,um_municipio,Muqui,3203809.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,75
162,2024,2024-7862T,2024,Música E Artes Na Capital Vitória ES,musica e artes na capital vitoria es,ASSOCIAÇÃO ALEF BET,associacao alef bet,500000.0,1500000.0,500000.0,1500000.0,False,em_execucao,cota-continuados,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,11,2
163,2024,2024-L44FD,2024,Laboratório dos Sonhos,laboratorio dos sonhos,Associação Aprender Cultura,associacao aprender cultura,500000.0,491301.52,500000.0,491301.52,False,concluido,cota-demais,Cariacica,Cariacica,Cariacica,3201308,1,,,False,um_municipio,Cariacica,3201308.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,3
164,2024,2024-LMF2Z,2024,Projeto Escolas no Teatro Eliziário Rangel (PETER) | 2º edição,projeto escolas no teatro eliziario rangel peter 2o edicao,Associação Centro Cultural Eliziário Rangel,associacao centro cultural eliziario rangel,500000.0,500000.0,500000.0,500000.0,False,captando,cota-demais,Serra,Serra,Serra,3205002,1,,,False,um_municipio,Serra,3205002.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,4
165,2024,2024-HT8QP,2024,Orquestra Brasileira de Cantores Cegos - 3º Repertório,orquestra brasileira de cantores cegos 3o repertorio,Associação Sociedade Cultura e Arte SOCA,associacao sociedade cultura e arte soca,500000.0,500000.0,500000.0,500000.0,False,concluido,cota-demais,Vila Velha,Vila Velha,Vila Velha,3205200,1,,,False,um_municipio,Vila Velha,3205200.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,5
166,2024,2024-D8SGC,2024,4A Mostra CineMarias,4a mostra cinemarias,Odoyá Arte e Cultura Produções LTDA,odoya arte e cultura producoes,500000.0,500000.0,500000.0,500000.0,False,concluido,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,6
167,2024,2024-1V0QR,2024,Mais Cultura Nas Escolas,mais cultura nas escolas,"ES Práticas Corporais, Culturais, Esportivas e de Saúde LTDA",es praticas corporais culturais esportivas e de saude,499896.0,,499896.0,,False,concluido,cota-continuados,Cariacica,Cariacica,Cariacica,3201308,1,,,False,um_municipio,Cariacica,3201308.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,7
168,2024,2024-XDJHX,2024,Samba que Eu Quero Ver - Mostra Cultural de Bamba,samba que eu quero ver mostra cultural de bamba,Odoyá Arte e Cultura Produções LTDA,odoya arte e cultura producoes,,500000.0,500.0,500000.0,True,em_execucao,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,8
169,2024,2024-VM90J,2024,Musicalização Agrícola,musicalizacao agricola,Instituto Três Pontões de Ação Social e Cultural,instituto tres pontoes de acao social e cultural,,1499970.0,500.0,1499970.0,True,concluido,cota-fora-rmgv,Afonso Cláudio,Afonso Cláudio,Afonso Cláudio,3200102,1,,,False,um_municipio,Afonso Cláudio,3200102.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,9
170,2024,2024-B7ZFZ,2024,Corais das Montanhas,corais das montanhas,Instituto Três Pontões De Ação Social E Cultural - Instituto Cultural Das Montanhas,instituto tres pontoes de acao social e cultural,,1499999.0,500.0,1499999.0,True,concluido,cota-continuados,Afonso Cláudio,Afonso Cláudio,Afonso Cláudio,3200102,1,,,False,um_municipio,Afonso Cláudio,3200102.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,10
171,2024,2024-WCJ53,2024,"Projeto Mãos Criativas - Artesanato, Sustentabilidade e Cultura",projeto maos criativas artesanato sustentabilidade e cultura,"Associação Amigos Da Justiça Cidadania, Educação E Arte",associacao amigos da justica cidadania educacao e arte,499999.0,499999.0,499999.0,499999.0,False,em_execucao,cota-fora-rmgv,Ibiraçu,Ibiraçu,Ibiraçu,3202504,1,,,False,um_municipio,Ibiraçu,3202504.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,11
172,2024,2023-7F9L1,2023,Porque é lixo?,porque e lixo,Senhora Filmes LTDA,senhora filmes,494600.0,494600.0,494600.0,494600.0,False,captando,cota-demais,Vitória,Vitória,Vitória,3205309,1,,,False,um_municipio,Vitória,3205309.0,False,,https://secult.es.gov.br/lista-de-projetos-habilitados,12,12
