# Fonte: SICONFI/STN, API https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca (DCA-Anexo I-E, governos estaduais e DF), consulta 2026-09-23; valores declarados pelo ente; ente sem declaracao = ausente. Script: analise/03c_siconfi_cultura_icms.py
ano,uf,desp_total_emp,populacao,instituicao,f13_emp,f13_392_difusao_emp,desp_total_liq,f13_liq,f13_392_difusao_liq,desp_total_pag,f13_pag,f13_392_difusao_pag,f13_391_patrimonio_emp,f13_391_patrimonio_liq,f13_391_patrimonio_pag,f13_demais_emp,f13_demais_liq,f13_demais_pag,pct_f13_emp_na_despesa,f13_emp_per_capita,f13_liq_per_capita,rank_per_capita_emp
2024,RJ,100508250796.52,16615526,Governo do Estado do Rio de Janeiro,311504527.41,190517364.02,99267937429.71,304165920.74,183178757.35,97200472688.2,234087218.59,114256221.65,483749.25,483749.25,465769.45,,,,0.003099293092272038,18.747798138319546,18.30612649518288,24.0
2024,SP,345724835564.36,46024937,Governo do Estado de São Paulo,1538006495.03,1512395795.54,335692614882.49,1518968594.25,1494062910.44,312038354316.81,1156591151.08,1133477478.39,5428989.46,4773154.35,4583839.72,,,,0.004448643362630757,33.41680826265987,33.003165093957655,15.0
2024,PR,69829373516.77,11835379,Governo do Estado do Paraná,236350613.01,156711421.83,63812465125.82,211589321.78,135625178.91,63588128337.29,211065376.27,135605118.0,,,,,,,0.003384687576399905,19.969838989524543,17.877697180631056,22.0
2024,SC,47523185461.69,7762154,Governo do Estado de Santa Catarina,122010044.57,85659691.08,45739708452.68,59916762.15,25640823.54,45595698609.73,59806191.02,25626703.54,649999.52,521302.32,521302.32,881088.78,695124.03,695124.03,0.0025673793409399354,15.718580766369746,7.719089591626242,26.0
2024,RS,64739368814.79,11088065,Governo do Estado do Rio Grande do Sul,238575414.29,135024882.09,59448877020.62,188607976.05,118290281.81,58441885080.46,177306592.41,110878605.93,46978595.14,17996161.63,16375701.22,5084812.68,1095265.61,529827.63,0.0036851674438243267,21.516415559432595,17.00999913420421,19.0
2024,MS,22929791107.97,2833742,Governo do Estado do Mato Grosso do Sul,135673769.96,125434363.61,22388732403.22,134496216.63,124256810.28,21815749339.79,133660750.72,123718895.43,2722836.7,2722836.7,2702683.88,,,,0.005916921323929643,47.87795429506286,47.46240717397702,9.0
2024,MT,36264462941.99,3784239,Governo do Estado do Mato Grosso,211425064.81,148127202.14,33176046140.88,195400451.02,144590086.61,32645697107.82,194590398.03,143962086.61,4864223.19,3146292.59,3146292.59,2284706.63,1264086.69,1264086.69,0.005830089505205234,55.86990272284599,51.63533566986652,8.0
2024,GO,42009294789.86,6950976,Governo do Estado de Goiás,133597010.25,84159990.28,40503693849.1,130943109.2,84103851.28,40430197525.44,117756491.86,70994895.88,16478955.68,15219655.31,15197944.11,,,,0.0031801774087920893,19.219892321596276,18.838089672586985,23.0
2024,DF,37165148341.7,2923369,Governo do Distrito Federal,458770967.44,373341346.77,35303270142.74,344070816.9,264362028.97,33564821699.51,310861284.0,238401431.75,3000.0,3000.0,3000.0,8834341.41,4942111.78,2665774.39,0.01234411775306303,156.93228170648317,117.69667698467076,1.0
2025,RO,16597641818.14,1616379,Governo do Estado de Rondônia,69069426.33,64234975.12,14759760481.63,64688113.19,60239829.27,14648193405.93,64106231.85,59669772.7,,,,,,,0.0041613999799966885,42.730959960504315,40.020387044127645,11.0
