# Fonte: IBGE, Sistema de Informacoes e Indicadores Culturais (SIIC), API servicodados.ibge.gov.br/api/v1/pesquisas/10092, consulta 2026-09-23. valor = valor_publicado x multiplicador dos metadados. Script: analise/03b_ibge_cultura_es.py
indicador_id,indicador,descricao_ibge,unidade,multiplicador,localidade,ano,valor_publicado,valor
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,DF,2017,41900.0,41900.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,DF,2019,41413.0,41413.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,DF,2021,40938.0,40938.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2007,17395.0,17395.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2009,18189.0,18189.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2011,20054.0,20054.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2017,18923.0,18923.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2019,20634.0,20634.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,ES,2021,21436.0,21436.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2007,24232.0,24232.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2009,25450.0,25450.0
82734,assalariados_setor_cultural_cempre,Cadastro Central de Empresas > Total de pessoal ocupado assalariado no setor cultural,pessoas,1,GO,2011,28269.0,28269.0
