id,url,status,content_type,bytes,sha256,coletado_utc,arquivo
doi:10.1016/j.jdeveco.2020.102458,https://api.crossref.org/works/10.1016/j.jdeveco.2020.102458,200,application/json,1412,38ff73d791f7f9554efc60e850220c7bd432a2924d0e0ba32ef0ad168836c4d4,2026-09-24T00:26:35Z,dados/fontes_web/doi/10.1016_j.jdeveco.2020.102458.json
doi:10.1016/j.jeconom.2004.04.011,https://api.crossref.org/works/10.1016/j.jeconom.2004.04.011,200,application/json,1378,79d2734cc1e401462a81462d2d9722ea17e03cfbe4bda17f384f05da180d1d74,2026-09-24T00:26:36Z,dados/fontes_web/doi/10.1016_j.jeconom.2004.04.011.json
doi:10.1016/j.jeconom.2007.05.001,https://api.crossref.org/works/10.1016/j.jeconom.2007.05.001,200,application/json,1338,fd1925233d7767c7a8d5d83b16a05efb6e697438b6b846c67c06262c4b18d75e,2026-09-24T00:26:36Z,dados/fontes_web/doi/10.1016_j.jeconom.2007.05.001.json
doi:10.1016/j.jeconom.2007.05.005,https://api.crossref.org/works/10.1016/j.jeconom.2007.05.005,200,application/json,1312,62568cd9e7d45a864aa7cfc0135905b968fc699c400a1439bee33d79e421d4a4,2026-09-24T00:26:37Z,dados/fontes_web/doi/10.1016_j.jeconom.2007.05.005.json
doi:10.1016/j.jeconom.2020.04.024,https://api.crossref.org/works/10.1016/j.jeconom.2020.04.024,200,application/json,1398,db3d867be28347951952221f4376e126ceb7fe14f63c5d661daa8ea782d3a03e,2026-09-24T00:26:38Z,dados/fontes_web/doi/10.1016_j.jeconom.2020.04.024.json
doi:10.1016/j.jeconom.2020.06.003,https://api.crossref.org/works/10.1016/j.jeconom.2020.06.003,200,application/json,1340,316ca589b046a71d85f40ca2c73f7ca74512dab6838b60fc1ed567fd47f86335,2026-09-24T00:26:39Z,dados/fontes_web/doi/10.1016_j.jeconom.2020.06.003.json
doi:10.1016/j.jeconom.2020.09.006,https://api.crossref.org/works/10.1016/j.jeconom.2020.09.006,200,application/json,1405,98efdbdd641313674ca31bd1481b1c08e9b64f57d950ab11e354861763fd1af1,2026-09-24T00:26:40Z,dados/fontes_web/doi/10.1016_j.jeconom.2020.09.006.json
doi:10.1016/j.jeconom.2020.10.012,https://api.crossref.org/works/10.1016/j.jeconom.2020.10.012,200,application/json,2193,62b0909a885519a97e6154eb66cb5d2370212627ab344212cb2150af8374a3a6,2026-09-24T00:26:40Z,dados/fontes_web/doi/10.1016_j.jeconom.2020.10.012.json
doi:10.1016/j.jeconom.2020.12.001,https://api.crossref.org/works/10.1016/j.jeconom.2020.12.001,200,application/json,1357,4c1979124c40216d8cddebc8f62d2797f56b8f60f8e34a6b74f2025310e678e2,2026-09-24T00:26:41Z,dados/fontes_web/doi/10.1016_j.jeconom.2020.12.001.json
doi:10.1016/j.jeconom.2021.03.014,https://api.crossref.org/works/10.1016/j.jeconom.2021.03.014,200,application/json,1267,44bd4c87adf4da6cae37fd4d989054b5f65fc6995675e43293778c2e9d05a600,2026-09-24T00:26:42Z,dados/fontes_web/doi/10.1016_j.jeconom.2021.03.014.json
