ano_captacao,na_afirmacao,teto_portarias_sefaz,montante_impresso,total_impresso,soma_termos,termos,projetos,totais_repetidos_apos_quebra,coluna_projeto,soma_coluna_projeto,esgotou_montante,saldo,linhas_em_analise,projetos_em_analise,valor_em_analise,projetos_validados,soma_validados,fonte_url,sha256_pdf,arquivo_texto
2022,False,10000000,15000000.00,11539241.07,11539241.07,47,39,1,valor total captado,11539241.07,False,3460758.93,,0,0,39,11539241.07,https://secult.es.gov.br/media/PDF/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202022.pdf,67945f574cec16f23fb4458e13ccc5e0c82a67ca918a8f6a44be15d160c0886e,dados/fontes_web/paginas/secult_captados_2022_pdf.txt
2023,True,15000000,15000000.00,15000000.00,15000000.00,71,49,2,valor total captado,15000000.00,True,0.00,,0,0,49,15000000.00,https://secult.es.gov.br/media/2023/RECURSO%20FINANCEIRO%20CAPTADO%20-%202023.pdf,3a790deed8e01b95f3677e366eb9c5c09ba2d58fd86af84cd20d8a8024da8aac,dados/fontes_web/paginas/secult_captados_2023_pdf.txt
2024,True,25000000,25000000.00,25000000.00,25000000.00,109,72,0,habilitado,31935859.84,True,0.00,,0,0,72,25000000.00,https://secult.es.gov.br/media/2024/RECURSO%20FINANCEIRO%20CAPTADO%20-%202024%20%286%29.pdf,19286bb60560325dedd49612321321a343a7ca751700975aa1198ccbc196f49b,dados/fontes_web/paginas/secult_captados_2024_pdf.txt
2025,True,25000000,25000000.00,25000000.00,25000000.00,95,63,0,habilitado,27802174.47,True,0.00,163,1,356135.99,62,24643864.01,https://secult.es.gov.br/media/2025/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025%20%2817%29.pdf,1e0ac02d4b026691384f0f80bc343cc6beb02547b9083b67bbd8f83b1421fcda,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
2026,False,31000000,31000000.00,31512958.04,31512958.04,120,103,0,habilitado,48465684.15,False,-512958.04,8,,,,,https://secult.es.gov.br/media/2026/RECURSO%20FINANCEIRO%20CAPTADO%20-%202026-2.pdf,1d9e507814910e443f35fc2560a1600f0d36e63d4563e5ecb5ccb61140199879,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
