base,projetos,soma,empresas,estabelecimentos,empresas_para_metade,maior_empresa,energia_e_gas,empresas_rouanet,renuncia_das_empresas_rouanet
anexo inteiro,63,25000000.00,26,46,2,0.4390,0.5178,13,0.8631
sem projetos em análise,62,24643864.01,25,42,2,0.4454,0.5253,12,0.8611
