id,ano,descricao,esperado,obtido,status,fonte
F1,2025,cota I: 'Total Captado' impresso = soma dos termos da cota,7500000.00,7500000.00,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
F1,2025,cota II: 'Total Captado' impresso = soma dos termos da cota,2329896.00,2329896.00,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
F1,2025,cota III: 'Total Captado' impresso = soma dos termos da cota,2670104.00,2670104.00,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
F1,2025,cota IV: 'Total Captado' impresso = soma dos termos da cota,12500000.00,12500000.00,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
L1,2026,nenhum R$ fora das colunas previstas (leitura completa),0,0,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
L2,2026,todo termo tem CNPJ de 14 dígitos (na linha ou na vizinha),120,120,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
A1,2026,ano do montante impresso = ano do anexo,2026,2026,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
B1,2026,total impresso = soma dos termos recalculada,31512958.04,31512958.04,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
F1,2026,cota I: 'Total Captado' impresso = soma dos termos da cota,9701559.88,9701559.88,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
F1,2026,cota II: 'Total Captado' impresso = soma dos termos da cota,3086410.50,3086410.50,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
F1,2026,cota III: 'Total Captado' impresso = soma dos termos da cota,3132610.32,3132610.32,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
F1,2026,cota IV: 'Total Captado' impresso = soma dos termos da cota,15592377.34,15592377.34,confere,dados/fontes_web/paginas/secult_captados_2026_pdf.txt
G1,2025,projetos no anexo (valores na coluna 'valor habilitado'),63,63,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
G2,2025,termos no anexo,95,95,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
T1,2025,licc_captados_2025_totais.csv: projetos = anexo,63,63,confere,analise/tabelas/licc_captados_2025_totais.csv
T2,2025,licc_captados_2025_totais.csv: soma captada = anexo,25000000.00,25000000.00,confere,analise/tabelas/licc_captados_2025_totais.csv
T3,2025,licc_captados_2025_totais.csv: soma habilitada = anexo,27802174.47,27802174.47,confere,analise/tabelas/licc_captados_2025_totais.csv
T4,2025,transcrição licc.gov: linhas (projetos) = anexo,63,63,confere,dados/licc/oficial/captados-2025.csv
T5,2025,transcrição licc.gov: projetos distintos (título) = linhas,63,63,confere,dados/licc/oficial/captados-2025.csv
T6,2025,transcrição licc.gov: soma de valor_captado = anexo,25000000.00,25000000.00,confere,dados/licc/oficial/captados-2025.csv
T7,2025,transcrição licc.gov: valores habilitados (multiconjunto) = anexo,True,True,confere,dados/licc/oficial/captados-2025.csv
T8,2025,"transcrição licc.gov: termos (CNPJ, valor) = anexo, um a um",True,True,confere,dados/licc/oficial/captados-2025.csv
T9,2025,transcrição licc.gov: soma dos aportes de cada projeto = valor_captado,63,63,confere,dados/licc/oficial/captados-2025.csv
T10,2025,captados_2025.csv: linhas = anexo,63,63,confere,dados/processados/captados_2025.csv
T11,2025,captados_2025.csv: soma de valor_captado = anexo,25000000.00,25000000.00,confere,dados/processados/captados_2025.csv
T12,2025,"aportes_2025.csv: termos (CNPJ, valor) = anexo, um a um",True,True,confere,dados/processados/aportes_2025.csv
T13,2025,aportes_2025.csv: projetos distintos (id_captado) = anexo,63,63,confere,dados/processados/aportes_2025.csv
T14,2025,"09_cotas_2025_2026.csv: cota I, soma lida = auditoria",7500000.00,7500000.00,confere,analise/tabelas/09_cotas_2025_2026.csv
T14,2025,"09_cotas_2025_2026.csv: cota II, soma lida = auditoria",2329896.00,2329896.00,confere,analise/tabelas/09_cotas_2025_2026.csv
T14,2025,"09_cotas_2025_2026.csv: cota III, soma lida = auditoria",2670104.00,2670104.00,confere,analise/tabelas/09_cotas_2025_2026.csv
T14,2025,"09_cotas_2025_2026.csv: cota IV, soma lida = auditoria",12500000.00,12500000.00,confere,analise/tabelas/09_cotas_2025_2026.csv
H1,2025,marcas 'Em análise' no anexo = projetos marcados na transcrição,1,1,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
H2,2025,termos do projeto em análise estão junto da marca no anexo,True,True,confere,dados/fontes_web/paginas/secult_captados_2025_v17_pdf.txt
H3,2025,soma dos termos do projeto em análise = valor_captado transcrito,356135.99,356135.99,confere,dados/licc/oficial/captados-2025.csv
M1,-,a frase auditada está no artigo,True,True,confere,artigo/rascunho-artigo.md
